AREA NAME,Rpt Dist No,LOCATION,LAT,LON
Wilshire,701,700 N ALFRED ST,34.0836,-118.3753
Wilshire,725,100 N FULLER AV,34.0736,-118.3498
Van Nuys,974,4600 VAN NUYS BL,34.1548,-118.4487
West Valley,1029,GLORIA,34.1961,-118.4793
Devonshire,1795,8300 WHITE OAK AV,34.221,-118.5186
Hollenbeck,459,3100 WINTER ST,34.0468,-118.1964
77th Street,1204,1400 W 47TH ST,34.001,-118.3002
Hollywood,643,7200 FRANKLIN AV,34.1037,-118.3459
Northeast,1172,1200 WESTERLY TR,34.0845,-118.2726
77th Street,1293,10200 RUTHELEN ST,33.944,-118.3123
Van Nuys,923,6400 VAN NUYS BL,34.1867,-118.4487
Olympic,2034,700 S KINGSLEY DR,34.0582,-118.3031
Olympic,2014,200 S NORMANDIE AV,34.0726,-118.3029
Olympic,2054,3300 SAN MARINO ST,34.0545,-118.3031
77th Street,1265,1300 W MANCHESTER AV,33.96,-118.2986
Wilshire,773,1900 S BURNSIDE AV,34.0419,-118.3572
Newton,1364,1200 E 46TH ST,34.0021,-118.2541
Devonshire,1745,10300 LINDLEY AV,34.2573,-118.5273
Northeast,1161,KENMORE ST,34.0953,-118.2974
Hollenbeck,439,2200 LILLYVALE AV,34.0711,-118.1643
Northeast,1124,3000 W AVENUE 32,34.115,-118.2416
Mission,1985,8700 VAN NUYS BL,34.2276,-118.45
Southeast,1801,500 W 92ND ST,33.9528,-118.2827
Foothill,1698,7900 SAN FERNANDO RD,34.214,-118.3616
Devonshire,1712,11700 THUNDERBIRD AV,34.2854,-118.5601
Newton,1353,900 E 43RD PL,34.0048,-118.2599
77th Street,1241,3300 W 66TH ST,33.9797,-118.3294
Mission,1974,9000 WILLIS AV,34.2337,-118.4553
Newton,1303,12TH ST,34.0337,-118.2533
Harbor,565,500 W 8TH ST,33.737,-118.2879
Newton,1321,300 W ADAMS BL,34.0289,-118.2686
Northeast,1152,4200 FOUNTAIN AV,34.0993,-118.2837
Harbor,507,1400 W 227TH ST,33.8201,-118.3015
Pacific,1405,3100 CHEVIOT VISTA PL,34.0309,-118.4147
N Hollywood,1532,12300 EMELITA ST,34.1763,-118.4013
77th Street,1259,800 E 75TH ST,33.9721,-118.2608
Hollywood,646,1300 CHEROKEE AV,34.0944,-118.3352
Harbor,563,1000 W 18TH ST,33.7279,-118.299
Rampart,279,900 GRATTAN ST,34.0499,-118.2725
Newton,1322,500 E 22ND ST,34.0268,-118.2619
Hollenbeck,497,3200 GLENN AV,34.0209,-118.21
Newton,1325,1100 E 28TH ST,34.0168,-118.2558
Pacific,1494,700 WORLD WAY,33.9431,-118.401
Hollenbeck,429,3500 COPELAND PL,34.0857,-118.1655
Devonshire,1799,8300 GLORIA AV,34.2213,-118.4809
Hollywood,636,YUCCA ST,34.1032,-118.3387
N Hollywood,1548,11000 CHANDLER BL,34.1681,-118.3704
Mission,1988,13600 OTTOMAN ST,34.2283,-118.4286
Olympic,2079,2200 W 15TH ST,34.0453,-118.2864
Southeast,1841,11100 DENVER AV,33.9347,-118.2848
Wilshire,759,1100 S NORTON AV,34.0515,-118.3219
Foothill,1677,8700 WHEATLAND AV,34.2278,-118.3622
West LA,842,1400 BUTLER AV,34.0484,-118.4544
Hollywood,666,6200 BANNER AV,34.0917,-118.3244
77th Street,1241,6400 10TH AV,33.9817,-118.3279
77th Street,1252,2300 W FLORENCE AV,33.9746,-118.3188
Newton,1391,300 W 70TH ST,33.9765,-118.2789
Harbor,528,PACIFIC COAST,33.791,-118.2469
Wilshire,736,300 S COCHRAN AV,34.0692,-118.3472
Devonshire,1721,21600 TRIBUNE ST,34.2675,-118.6005
77th Street,1207,800 W 50TH PL,33.997,-118.2871
Southwest,363,4000 WEST BL,34.0128,-118.3447
Northeast,1122,LOS FELIZ BL,34.117,-118.2717
77th Street,1255,7400 S DENKER AV,33.9728,-118.3046
77th Street,1249,6900 S FIGUEROA ST,33.9774,-118.2827
Southeast,1824,9400 S CENTRAL AV,33.9509,-118.2546
Hollenbeck,439,4800 VALLEY BL,34.0659,-118.1802
Wilshire,752,1200 LA CIENEGA BL,34.0555,-118.3762
N Hollywood,1569,10500 RIVERSIDE DR,34.1522,-118.3593
Olympic,2074,2000 CAMBRIDGE ST,34.0446,-118.3003
Newton,1383,200 W 62ND ST,33.9833,-118.2765
Topanga,2175,TOPANGA CANYON,34.1732,-118.6152
Southwest,307,2500 WELLINGTON RD,34.0332,-118.3375
Mission,1913,15200 COBALT ST,34.3131,-118.4632
Rampart,215,400 N VENDOME ST,34.0767,-118.2791
Southeast,1823,400 E 95TH ST,33.9502,-118.2673
Hollywood,636,6400 YUCCA ST,34.1039,-118.3297
Pacific,1464,12600 VILLAGE LN,33.9779,-118.4142
Southeast,1822,10300 S BROADWAY,33.9428,-118.2781
Rampart,257,500 UNION DR,34.0587,-118.2678
Devonshire,1721,10400 LARWIN AV,34.2589,-118.6137
Southeast,1846,1400 E 111TH PL,33.934,-118.2498
Northeast,1144,2400 MORENO DR,34.1047,-118.2687
Hollywood,666,1200 N CAHUENGA BL,34.0925,-118.3288
Foothill,1667,9300 SUNLAND PARK DR,34.2397,-118.3661
Olympic,2049,2700 JAMES M WOOD BL,34.0559,-118.2868
Mission,1972,8900 BURNET AV,34.2319,-118.4633
77th Street,1203,1600 W 45TH ST,34.0028,-118.3068
Olympic,2023,400 S KINGSLEY DR,34.0672,-118.3028
Newton,1385,300 E 59TH PL,33.9861,-118.2696
Newton,1307,1600 E OLYMPIC BL,34.0349,-118.2436
Southwest,355,3600 CIMARRON ST,34.0228,-118.3156
West LA,839,2000 AVENUE OF THE STARS,34.0587,-118.4158
Rampart,295,1300 S BURLINGTON AV,34.0456,-118.2789
Rampart,299,1000 W 18TH ST,34.0387,-118.2786
Wilshire,753,1000 S ORANGE GROVE AV,34.0578,-118.3628
Foothill,1601,12800 PAXTON ST,34.2865,-118.4161
Mission,1984,8600 WILLIS AV,34.2266,-118.4553
Foothill,1613,12600 PIERCE ST,34.2758,-118.4052
Rampart,269,700 S BIXEL ST,34.0509,-118.2642
West LA,823,15300 DE PAUW ST,34.039,-118.5262
Pacific,1414,600 INDIANA AV,33.9962,-118.4694
Central,135,100 E 3RD ST,34.0495,-118.2459
Mission,1904,14000 LAKESIDE ST,34.321,-118.4381
Southwest,363,4100 MARLTON AV,34.0102,-118.3404
Hollywood,669,1100 N ARDMORE AV,34.0908,-118.3012
Hollenbeck,464,PERCY,34.0445,-118.2116
Harbor,532,1100 MCDONALD AV,33.7845,-118.2714
77th Street,1248,900 W 65TH ST,33.9801,-118.2914
Pacific,1454,12900 WALSH AV,33.9869,-118.4301
Mission,1962,15100 TAMARACK CT,34.239,-118.4618
Central,132,200 S OLIVE ST,34.0535,-118.2491
Southwest,362,3800 POTOMAC AV,34.016,-118.346
Topanga,2148,VANOWEN ST,34.1938,-118.571
Southwest,393,4100 GARTHWAITE AV,34.0094,-118.3231
Northeast,1149,200 N AVE 55,34.1094,-118.1963
N Hollywood,1543,12100 BURBANK BL,34.1721,-118.3965
Mission,1987,8500 MAMMOTH AV,34.2249,-118.4344
Hollywood,667,5800 SANTA MONICA BL,34.0944,-118.319
Van Nuys,952,5200 N SEPULVEDA BL,34.1649,-118.4661
Van Nuys,964,5100 STANSBURY AV,34.1635,-118.4411
West LA,823,800 VIA DE LA PAZ,34.0448,-118.5277
Topanga,2118,20400 CANTARA ST,34.2191,-118.5771
West Valley,1004,18400 INGOMAR ST,34.212,-118.534
Devonshire,1701,20600 LUGANO WY,34.2799,-118.5818
Harbor,563,700 S LELAND ST,33.7379,-118.3012
Wilshire,758,1100 S MUIRFIELD RD,34.0537,-118.3327
77th Street,1204,1100 W VERNON AV,34.0037,-118.2938
Harbor,521,SANFORD,33.7694,-118.2955
Newton,1303,1000 TOWNE AV,34.0342,-118.2496
Mission,1993,8100 N SEPULVEDA PL,34.2181,-118.4664
Southwest,319,1900 PARK GROVE AV,34.0363,-118.2762
Central,111,500 W CESAR E CHAVEZ AV,34.0592,-118.2414
Central,111,400 N GRAND AV,34.0595,-118.2451
77th Street,1233,5800 HAAS AV,33.9891,-118.3167
N Hollywood,1548,5200 HARMONY AV,34.1649,-118.3665
77th Street,1218,800 W 52ND ST,33.9953,-118.2872
Hollywood,632,8400 HOLLYWOOD BL,34.0994,-118.3727
Wilshire,736,300 S DETROIT ST,34.0683,-118.3451
Southeast,1842,100 W IMPERIAL HY,33.9347,-118.2761
Newton,1377,5500 MORGAN AV,33.993,-118.2446
West LA,882,1900 SAWTELLE BL,34.0425,-118.445
West Valley,1035,6600 DARBY AV,34.1902,-118.5335
Van Nuys,916,VANOWEN,34.1939,-118.4313
Rampart,279,1500 W OLYMPIC BL,34.0484,-118.2724
Hollywood,649,1600 N KINGSLEY DR,34.1,-118.3033
Foothill,1641,10200 RINCON AV,34.2558,-118.4275
Hollywood,656,1000 VINE ST,34.0889,-118.3266
